ID,focus,focus ID,adj idx,det idx,before,before gender,deprel,number,dep tree size,after,focus ID after,after gender
0,presidente,1,-1,0,El presidente del órgano regulador de las Telecomunicaciones se mostró partidario de completar esta liberalización de las telecomunicaciones con otras medidas que incentiven la competencia como puede ser abrir el acceso a la información de los clientes de Telefónica a otros operadores . ,Masc,nsubj,Sing,9,La presidenta del órgano regulador de las Telecomunicaciones se mostró partidario de completar esta liberalización de las telecomunicaciones con otras medidas que incentiven la competencia como puede ser abrir el acceso a la información de los clientes de Telefónica a otros operadores . ,1,Fem
20,empleado,26,-1,-1,"El Komercni Banka ( Banco Comercial ) , uno de los cuatro bancos más grandes de la República Checa , anunció hoy que despedirá a 2.300 empleados más antes de finales del año dentro del proceso de saneamiento de la entidad estatal . ",Masc,obj,Plur,5,"El Komercni Banka ( Banco Comercial ) , uno de los cuatro bancos más grandes de la República Checa , anunció hoy que despedirá a 2.300 empleadas más antes de finales del año dentro del proceso de saneamiento de la entidad estatal . ",26,Fem
27,funcionario,27,-1,-1,"El Komercni Banka tenía una plantilla de 13.487 empleados a fines de 1999 , 470 fueron despedidos durante el primer trimestre del presente año y otros 170 funcionarios fueron trasladados a una filial . ",Masc,nsubj,Plur,4,"El Komercni Banka tenía una plantilla de 13.487 empleados a fines de 1999 , 470 fueron despedidos durante el primer trimestre del presente año y otros 170 funcionarias fueron trasladados a una filial . ",27,Fem
42,empleado,9,-1,-1,"Algroup , presente en 18 países y con 23.000 empleados , opera en el sector de la producción de aluminio y el empaquetado , con una fuerte presencia en el sector de la industria del transporte y del embalaje de productos alimentarios , cosméticos y farmacéuticos . ",Masc,conj,Plur,5,"Algroup , presente en 18 países y con 23.000 empleadas , opera en el sector de la producción de aluminio y el empaquetado , con una fuerte presencia en el sector de la industria del transporte y del embalaje de productos alimentarios , cosméticos y farmacéuticos . ",9,Fem
46,escandinavo,10,-1,9,"Los mayores bebedores de café en Europa siguen siendo los escandinavos con cerca de 12 kilos por persona mientras que los más reservados son los portugueses con apenas 4,1 kilos por cabeza al año . ",Masc,xcomp,Plur,4,"Los mayores bebedores de café en Europa siguen siendo las escandinavas con cerca de 12 kilos por persona mientras que los más reservados son los portugueses con apenas 4,1 kilos por cabeza al año . ",10,Fem
63,ciudadano,22,23,21,"Según Pujol , "" no puede ser que se tarde ocho meses para dar un permiso de residencia de trabajo a un ciudadano polaco "" , en un momento de falta de mano de obra que actúa , en su opinión , como freno al crecimiento económico . ",Masc,obj,Sing,5,"Según Pujol , "" no puede ser que se tarde ocho meses para dar un permiso de residencia de trabajo a una ciudadana polaca "" , en un momento de falta de mano de obra que actúa , en su opinión , como freno al crecimiento económico . ",22,Fem
67,empresario,6,-1,-1,"En este sentido , instó a empresarios , sindicatos y administraciones a "" cumplir la ley "" de prevención de riesgos en el trabajo ya que , a su juicio , "" no vamos bien en lo que respecta a la siniestralidad "" . ",Masc,iobj,Plur,7,"En este sentido , instó a empresarias , sindicatos y administraciones a "" cumplir la ley "" de prevención de riesgos en el trabajo ya que , a su juicio , "" no vamos bien en lo que respecta a la siniestralidad "" . ",6,Fem
68,empresario,22,23,21,"Por su parte , la ministra Anna Birulés animó a las pymes a invertir en Investigación y Desarrollo y mostró a los empresarios presentes la disposición del Gobierno a facilitar este camino . ",Masc,obj,Plur,5,"Por su parte , la ministra Anna Birulés animó a las pymes a invertir en Investigación y Desarrollo y mostró a las empresarias presentes la disposición del Gobierno a facilitar este camino . ",22,Fem
71,abogado,4,-1,3,"Sin embargo , los abogados de la empresa indicaron una vez más que proyectan insistir en las apelaciones para impedir que esos remedios "" extremos y sin justificación "" se lleven a efecto . ",Masc,nsubj,Plur,6,"Sin embargo , las abogadas de la empresa indicaron una vez más que proyectan insistir en las apelaciones para impedir que esos remedios "" extremos y sin justificación "" se lleven a efecto . ",4,Fem
95,patrono,10,-1,9,"De esta forma , el Medef confirma que para los patronos es la firma del Care lo que da derecho al cobro de subsidios y no el simple hecho de haber cotizado al UNEDIC ( organismo que administra en Francia el seguro de desempleo ) . ",Masc,obl,Plur,4,"De esta forma , el Medef confirma que para las patronas es la firma del Care lo que da derecho al cobro de subsidios y no el simple hecho de haber cotizado al UNEDIC ( organismo que administra en Francia el seguro de desempleo ) . ",10,Fem
