ID,focus,focus ID,focus ID after,adj idx,det idx,before,before number,deprel,gender,dep tree size,after,after number
0,empresa,6,6,7,5,Además se le pediría a las empresas interesadas en prestar el servicio que se hagan cargo de la señalización y la cartelería que contiene información para los usuarios . ,Plur,iobj,Fem,9,Además se le pediría a la empresa una interesada en prestar el servicio que se hagan cargo de la señalización y la cartelería que contiene información para los usuarios . ,Sing
0,cargo,15,15,-1,-1,Además se le pediría a las empresas interesadas en prestar el servicio que se hagan cargo de la señalización y la cartelería que contiene información para los usuarios . ,Sing,obj,Masc,14,Además se le pediría a las empresas interesadas en prestar el servicio que se hagan cargos de la señalización y la cartelería que contiene información para los usuarios . ,Plur
3,vez,6,7,-1,-1,Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes . ,Plur,nmod,Fem,3,Los pacientes con diabetes son cuatro una vez más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes . ,Sing
3,diabetes,18,19,-1,-1,Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes . ,Plur,obj,Masc,2,Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen un diabete . ,Sing
3,enfermedad,11,11,12,-1,Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedad cardíacas que aquellos que no tienen diabetes . ,Sing,obj,Fem,3,Los pacientes con diabetes son cuatro veces más propensos a desarrollar enfermedades una cardíaca que aquellos que no tienen diabetes . ,Plur
4,mundo,4,4,-1,3,Aclarando hacia todo el mundo Valderrama Y Eduardo Son La Misma Persona . ,Sing,obl,Masc,5,Aclarando hacia todos los mundos Valderrama Y Eduardo Son La Misma Persona . ,Plur
7,diálogo,8,8,-1,5,"Creo que es importante que la democracia sea diálogo y no se responda a los conflictos sociales con bala "" , indicó . ",Sing,csubj,Masc,16,"Creo que es importante que las democracias sean diálogos y no se responda a los conflictos sociales con bala "" , indicó . ",Plur
15,censo,2,2,-1,1,"Según el censo de 2010 , había 37 personas residiendo en Moquino . ",Sing,obl,Masc,7,"Según los censos de 2010 , había 37 personas residiendo en Moquino . ",Plur
16,cine,6,6,-1,5,"Jaime Lee Curtis debutaría en el cine con veinte años y de la mano de John Carpenter , con la cinta de terror Halloween ( 1978 ) . ",Sing,obl,Masc,4,"Jaime Lee Curtis debutaría en los cines con veinte años y de la mano de John Carpenter , con la cinta de terror Halloween ( 1978 ) . ",Plur
16,año,9,10,-1,-1,"Jaime Lee Curtis debutaría en el cine con veinte años y de la mano de John Carpenter , con la cinta de terror Halloween ( 1978 ) . ",Plur,obl,Masc,11,"Jaime Lee Curtis debutaría en el cine con veinte un año y de la mano de John Carpenter , con la cinta de terror Halloween ( 1978 ) . ",Sing
17,helicóptero,8,8,-1,-1,Fue llevado hasta el hospital de Verona en helicóptero donde falleció . ,Sing,obl,Masc,5,Fue llevado hasta el hospital de Verona en helicópteros donde falleció . ,Plur
19,tiempo,2,2,-1,-1,Ya es tiempo de identificar y condenar a estos cómplices de los crímenes contra la humanidad cometidos en Libia por las élites occidentales y sus gobiernos títeres . ,Sing,nsubj,Masc,26,Ya son tiempos de identificar y condenar a estos cómplices de los crímenes contra la humanidad cometidos en Libia por las élites occidentales y sus gobiernos títeres . ,Plur
20,madre,2,3,-1,-1,Tiene 2 madres . ,Plur,obj,Masc,3,Tiene 2 un madre . ,Sing
21,fichaje,4,4,-1,3,El Sevilla cerrará el fichaje de un central en los próximos días y se trata de un futbolista que se llama Spahic y juega actualmente en el Montpellier francés donde disputa la Ligue 1 desde hace varios años junto a otros jugadores . ,Sing,obj,Masc,6,El Sevilla cerrará los fichajes de un central en los próximos días y se trata de un futbolista que se llama Spahic y juega actualmente en el Montpellier francés donde disputa la Ligue 1 desde hace varios años junto a otros jugadores . ,Plur
21,día,11,11,10,9,El Sevilla cerrará el fichaje de un central en los próximos días y se trata de un futbolista que se llama Spahic y juega actualmente en el Montpellier francés donde disputa la Ligue 1 desde hace varios años junto a otros jugadores . ,Plur,obl,Masc,5,El Sevilla cerrará el fichaje de un central en el un próximo día y se trata de un futbolista que se llama Spahic y juega actualmente en el Montpellier francés donde disputa la Ligue 1 desde hace varios años junto a otros jugadores . ,Sing
